Batch No.,Sample No.,CO₂ Volume (L),Weight (kg),Max Load (kN),Max Strength (N/mm²),Curing Time (days),Mixing Date,End of Curing
1,Sn 001,0,8.00,88.062,3.914,1,6/10/2025,6/11/2025
2,Sn 009,20,7.90,41.709,1.854,1,6/10/2025,6/11/2025
2,Sn 008,20,7.90,77.772,3.457,1,6/10/2025,6/11/2025
2,Sn 012,20,7.75,260.881,11.595,14,6/10/2025,6/25/2025
3,Sn 003,0,8.15,393.201,17.476,7,6/11/2025,6/18/2025
3,Sn 004,0,8.05,405.019,18.001,7,6/11/2025,6/18/2025
4,Sn 011,20,8.00,230.373,10.239,7,6/11/2025,6/18/2025
4,Sn 010,20,7.90,240.342,10.682,7,6/11/2025,6/18/2025
5,Sn 016,40,7.90,107.679,4.786,1,6/11/2025,6/12/2025
5,Sn 019,40,7.90,431.865,19.194,14,6/11/2025,6/26/2025
5,Sn 020,40,7.95,440.818,19.592,14,6/11/2025,6/26/2025
6,Sn 023,60,8.00,122.32,5.436,1,6/11/2025,6/12/2025
6,Sn 026,60,8.10,474.048,21.069,14,6/11/2025,6/26/2025
6,Sn 027,60,8.10,478.273,21.257,14,6/11/2025,6/26/2025
7,Sn 018,40,8.00,369.864,16.438,7,6/12/2025,6/19/2025
7,Sn 017,40,8.20,365.338,16.237,7,6/12/2025,6/19/2025
8,Sn 025,60,8.05,352.899,15.684,7,6/12/2025,6/19/2025
8,Sn 024,60,8.00,394.354,17.528,7,6/12/2025,6/19/2025
9,Sn 039,105,7.95,84.749,3.767,1,6/23/2025,6/24/2025
