Sample No.,binned_time,Date,Time,pressure,temperature
Sn 001,6/10/2025 11:46:00,2025-06-10,11:46:00,27.33,32.21
Sn 001,6/10/2025 11:47:00,2025-06-10,11:47:00,26.78,32.21
Sn 001,6/10/2025 11:54:00,2025-06-10,11:54:00,26.42,31.00
Sn 001,6/10/2025 11:55:00,2025-06-10,11:55:00,27.04,31.13
Sn 001,6/10/2025 11:56:00,2025-06-10,11:56:00,27.20,31.04
Sn 001,6/10/2025 11:57:00,2025-06-10,11:57:00,27.03,31.04
Sn 001,6/10/2025 11:58:00,2025-06-10,11:58:00,26.71,31.13
Sn 001,6/10/2025 11:59:00,2025-06-10,11:59:00,26.66,30.63
Sn 001,6/10/2025 12:00:00,2025-06-10,12:00:00,27.16,30.79
Sn 001,6/10/2025 12:01:00,2025-06-10,12:01:00,27.43,30.54
Sn 001,6/10/2025 12:02:00,2025-06-10,12:02:00,28.24,30.21
Sn 001,6/10/2025 12:03:00,2025-06-10,12:03:00,29.50,30.13
Sn 001,6/10/2025 12:04:00,2025-06-10,12:04:00,29.31,29.54
Sn 001,6/10/2025 12:05:00,2025-06-10,12:05:00,28.88,28.96
Sn 001,6/10/2025 12:06:00,2025-06-10,12:06:00,29.24,28.81
Sn 009,6/10/2025 12:29:00,2025-06-10,12:29:00,30.31,25.95
Sn 009,6/10/2025 12:30:00,2025-06-10,12:30:00,30.99,26.21
Sn 009,6/10/2025 12:31:00,2025-06-10,12:31:00,31.43,26.13
Sn 009,6/10/2025 12:32:00,2025-06-10,12:32:00,31.61,26.08
Sn 009,6/10/2025 12:33:00,2025-06-10,12:33:00,30.12,26.08
Sn 009,6/10/2025 12:34:00,2025-06-10,12:34:00,28.33,26.13
Sn 009,6/10/2025 12:35:00,2025-06-10,12:35:00,28.33,25.92
Sn 009,6/10/2025 12:36:00,2025-06-10,12:36:00,28.95,26.25
Sn 009,6/10/2025 12:41:00,2025-06-10,12:41:00,28.69,25.92
Sn 009,6/10/2025 12:42:00,2025-06-10,12:42:00,27.78,25.83
Sn 009,6/10/2025 12:43:00,2025-06-10,12:43:00,29.24,25.88
Sn 008,6/10/2025 14:10:00,2025-06-10,14:10:00,748.28,26.83
Sn 008,6/10/2025 14:11:00,2025-06-10,14:11:00,748.28,26.92
Sn 008,6/10/2025 14:12:00,2025-06-10,14:12:00,748.28,27.04
Sn 008,6/10/2025 14:13:00,2025-06-10,14:13:00,748.28,27.54
Sn 008,6/10/2025 14:14:00,2025-06-10,14:14:00,748.28,27.58
Sn 008,6/10/2025 14:15:00,2025-06-10,14:15:00,748.28,27.50
Sn 008,6/10/2025 14:16:00,2025-06-10,14:16:00,748.28,27.67
Sn 008,6/10/2025 14:17:00,2025-06-10,14:17:00,748.28,27.67
Sn 008,6/10/2025 14:18:00,2025-06-10,14:18:00,748.28,28.08
Sn 008,6/10/2025 14:19:00,2025-06-10,14:19:00,748.28,28.08
Sn 008,6/10/2025 14:20:00,2025-06-10,14:20:00,748.28,28.25
Sn 008,6/10/2025 14:21:00,2025-06-10,14:21:00,748.28,28.25
Sn 008,6/10/2025 14:22:00,2025-06-10,14:22:00,748.28,28.46
Sn 008,6/10/2025 14:23:00,2025-06-10,14:23:00,748.28,28.88
Sn 008,6/10/2025 14:24:00,2025-06-10,14:24:00,748.28,29.42
Sn 008,6/10/2025 14:25:00,2025-06-10,14:25:00,748.28,29.69
Sn 008,6/10/2025 14:26:00,2025-06-10,14:26:00,748.28,29.92
Sn 008,6/10/2025 14:27:00,2025-06-10,14:27:00,748.28,30.04
Sn 008,6/10/2025 14:28:00,2025-06-10,14:28:00,748.28,29.92
Sn 016,6/11/2025 10:56:00,2025-06-11,10:56:00,27.00,29.25
Sn 016,6/11/2025 10:57:00,2025-06-11,10:57:00,27.39,29.25
Sn 016,6/11/2025 11:02:00,2025-06-11,11:02:00,30.50,29.00
Sn 016,6/11/2025 11:03:00,2025-06-11,11:03:00,30.60,29.17
Sn 016,6/11/2025 11:04:00,2025-06-11,11:04:00,30.73,29.33
Sn 016,6/11/2025 11:05:00,2025-06-11,11:05:00,29.27,29.63
Sn 016,6/11/2025 11:06:00,2025-06-11,11:06:00,27.98,29.88
Sn 016,6/11/2025 11:07:00,2025-06-11,11:07:00,26.26,30.25
Sn 016,6/11/2025 11:08:00,2025-06-11,11:08:00,26.52,30.67
Sn 016,6/11/2025 11:09:00,2025-06-11,11:09:00,26.68,30.54
Sn 016,6/11/2025 11:10:00,2025-06-11,11:10:00,26.78,30.63
